-2.14163, 1.33685, 0.0318886
-2.13197, 1.33388, 0.0317912
-1.73684, 1.51248, 0.0489354
-1.73214, 1.50565, 0.0446121
-1.34463, 1.54948, 0.058252
-1.34579, 1.54448, 0.0579677
-0.959792, 1.51699, 0.0559164
-0.949599, 1.52405, 0.0484496
-0.581672, 1.5326, 0.0717331
-0.582354, 1.52023, 0.0532683
-0.165782, 1.49685, 0.0584089
-0.167565, 1.49161, 0.0566158
0.215895, 1.53455, 0.0548656
0.220948, 1.5418, 0.0608099
0.598748, 1.4802, 0.0769076
0.599533, 1.47662, 0.0742486
0.978097, 1.4716, 0.0663138
0.976559, 1.47611, 0.0676244
1.35336, 1.48651, 0.0663965
1.35321, 1.47368, 0.058479
1.76088, 1.50195, 0.064336
1.77216, 1.50412, 0.0561689
2.12869, 1.46682, 0.0593695
2.11386, 1.43585, 0.0577904
-0.117428, 1.5173, -2.09215
-0.130617, 1.51546, -2.10448
-0.095235, 1.49077, -1.70752
-0.106512, 1.51701, -1.7244
-0.100027, 1.49003, -1.30055
-0.0960106, 1.48412, -1.30212
-0.0713079, 1.50646, -0.923167
-0.0649244, 1.54597, -0.942215
-0.100322, 1.50038, -0.533616
-0.111551, 1.49126, -0.523597
-0.0795422, 1.50006, -0.15572
-0.0744984, 1.51862, -0.165644
-0.0757182, 1.49202, 0.242591
-0.0774406, 1.50012, 0.240992
-0.0961592, 1.47387, 0.63162
-0.0997112, 1.4754, 0.625768
-0.102832, 1.47941, 1.02022
-0.10735, 1.48092, 1.03315
-0.101789, 1.43821, 1.40199
-0.086955, 1.39648, 1.41223
-0.092398, 1.48971, 1.77586
-0.0893668, 1.4851, 1.74566
-0.108056, 1.4844, 2.15819
-0.116785, 1.48255, 2.18177
5.87959, 2.96332, 0.774074
5.8913, 2.96766, 0.775295
5.87597, 2.95534, 0.770319
5.88799, 2.95951, 0.772961
0.364722, 1.54616, 0.338563
0.358154, 1.53627, 0.348605
0.355129, 1.92974, 0.275295
0.35712, 1.92192, 0.283535
0.370147, 2.29693, 0.317327
0.366071, 2.29686, 0.317713
0.283285, 2.6851, 0.288648
0.282899, 2.68135, 0.284662
0.448408, 3.46614, 0.374933
0.432417, 3.46806, 0.398635
0.436577, 3.06667, 0.363982
0.440179, 3.06397, 0.363899
0.378985, 3.85963, 0.445926
0.384713, 3.8426, 0.519681
0.446686, 3.45867, 0.310297
0.443297, 3.45905, 0.314146
0.356739, 4.2328, 0.205824
0.354235, 4.23658, 0.210784
